Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
42.0,316.0,104.0,2.0,2.3945377965069072,2.636760118325982,8.111721055479139,0.0,0.496360994471565
195.0,315.0,109.0,4.0,3.3412239232047014,3.0613797196484804,8.918458540580732,0.0,0.7806288663343541
227.0,306.0,110.0,1.0,3.52165576949962,3.995892490309537,8.41067980136634,1.0,0.6554968450164536
10.0,324.0,108.0,4.0,3.619384949554566,2.998536482102879,8.574564025892732,1.0,0.4375816685281299
6.0,328.0,116.0,5.0,4.56729446976071,3.0008229230163352,9.289772567325468,1.0,0.8907317607700528
73.0,321.0,110.0,5.0,4.954021182464377,4.934505811448301,9.73641504611022,1.0,0.9124285771888324
253.0,315.0,99.0,2.0,2.5007046311998864,3.539329766893033,8.47926056000747,0.0,0.6982662035889211
264.0,325.0,112.0,4.0,2.372821576077804,1.6128233481080432,8.746719267696049,1.0,0.6964499041583007
7.0,321.0,107.0,3.0,2.9448320542239657,3.960541012946148,8.47590027213669,0.0,0.7701792204059137
364.0,306.0,103.0,3.0,2.361643629208129,2.886845125448672,8.16086243685595,0.0,0.7254204577770694
94.0,303.0,97.0,1.0,3.107711416461938,2.9429271988461427,7.910119456542526,1.0,0.4484600784160114
294.0,312.0,98.0,1.0,3.48597269007268,3.07886570966735,8.14168532359088,0.0,0.6342173468157605
385.0,340.0,113.0,4.0,5.0,5.0,9.74,1.0,0.96
145.0,324.0,111.0,3.0,2.985326185343601,3.735802664610541,9.0119551496934,0.0,0.8160822396989036
57.0,314.0,103.0,3.0,2.131616028899606,3.046067848696102,7.432741031115039,0.0,0.6397602872126857
399.0,311.0,102.0,4.0,3.3780010111003103,3.759808443962453,8.719757878357811,1.0,0.6585594959714275
26.0,339.0,119.0,5.0,4.415535028846915,4.54484716754403,9.656543512788422,0.0,0.94162764281709
7.0,321.0,109.0,4.0,2.9133205841550174,4.031764571423056,7.987428501741436,0.0,0.7449008397100745
488.0,327.0,113.0,5.0,3.449220154070446,4.019566980873003,8.88511407579531,1.0,0.8072798244828894
8.0,308.0,99.0,3.0,3.126145441333384,4.032889928595099,7.696367302444108,0.0,0.7019709580592349
332.0,311.0,105.0,1.0,3.2113791623770047,2.0372897401127847,8.2082452443862,0.0,0.7471259901806765
425.0,324.0,114.0,5.0,4.061319882792343,4.894466972471131,9.513392339757472,1.0,0.9138672481843924
433.0,324.0,112.0,4.0,4.5,4.0,9.22,1.0,0.86
199.0,311.0,104.0,3.0,4.5,4.5,8.43,0.0,0.7
494.0,300.0,95.0,3.0,2.980566152396273,1.577103380650022,8.269566843155038,0.0,0.6197005989725448
116.0,308.0,105.0,4.0,4.432903390626343,4.531322907060417,8.976857448071947,0.0,0.6624092854325355
18.0,319.0,106.0,2.0,3.939371903912152,2.936521645762769,8.017349748092004,0.0,0.6452383945956717
220.0,312.0,102.0,4.0,3.416390353912451,3.572359880192208,8.477933356887918,1.0,0.7331778680371285
38.0,300.0,104.0,1.0,1.2109021596204788,2.09045610466781,8.06839785403331,0.0,0.5904020702149095
459.0,311.0,99.0,1.0,3.206765500262041,2.974357581573931,8.55621185049672,1.0,0.6836491518987708
351.0,316.0,106.0,4.0,2.934326963719293,3.5374899667264605,8.258262944667853,1.0,0.6991513649240024
147.0,315.0,106.0,4.0,2.0075737470265067,2.507540798074472,8.562539808609339,1.0,0.7411594866433058
480.0,325.0,109.0,5.0,4.619284165284629,3.9582615209512833,8.993295460080306,0.0,0.8105210792990288
465.0,298.0,97.0,2.0,2.2045874844315048,3.1334733306283,7.272110885579084,0.0,0.4329058715998658
134.0,323.0,112.0,5.0,3.910992079099299,4.451661146227587,8.715444232378553,0.0,0.7919890869545179
115.0,308.0,106.0,3.0,3.6148158799738983,2.989408061629277,8.375951066726014,1.0,0.5727579953022476
483.0,327.0,113.0,4.0,4.1401888065058365,2.588967082568518,8.954859945617244,1.0,0.8463188408053529
488.0,325.0,115.0,5.0,3.584298716874582,3.9506004578301783,9.227707363135064,0.0,0.7604710828520296
36.0,318.0,109.0,5.0,5.0,4.985618213855986,9.30132440346068,1.0,0.8622020990108213
162.0,299.0,100.0,1.0,1.527034113755011,3.0455276228229864,7.391847905635114,1.0,0.5320333064439361
238.0,327.0,113.0,5.0,4.448807506632577,4.768974909975511,9.12177919761149,1.0,0.851468697965958
116.0,307.0,106.0,5.0,4.523890523361346,4.462224679657743,9.103281290415152,0.0,0.6681471526913668
337.0,319.0,109.0,4.0,2.925399126284045,2.5752290745557325,8.859812271407558,0.0,0.7179501112116031
211.0,324.0,108.0,3.0,4.612976394192367,4.106484162705598,9.206989489095314,0.0,0.7931334191138109
159.0,305.0,108.0,1.0,1.918517323372673,2.6292515347165777,8.093584009369263,1.0,0.610368743358305
472.0,312.0,103.0,2.0,1.9681233148817532,3.836726952013108,8.126855240557637,0.0,0.596388845589679
172.0,333.0,117.0,4.0,4.107547797879467,4.477804206434062,9.086109979721694,0.0,0.9230192620744072
73.0,321.0,109.0,5.0,5.0,4.966856486062989,9.287076467297926,1.0,0.9398169361571952
30.0,310.0,99.0,2.0,1.6176545832443356,1.838677405007246,7.425428334298955,0.0,0.5737671189482306
62.0,309.0,99.0,4.0,3.896783885621658,3.134909204202485,8.29333983765644,1.0,0.5183279264612584
2.0,321.0,108.0,4.0,3.9855188247351863,4.472820182610557,8.932140915344545,0.0,0.7606522712483399
201.0,315.0,101.0,4.0,2.595079680769307,2.8695433424374017,8.501208730530452,1.0,0.7363733423387422
455.0,309.0,105.0,1.0,3.147127944372836,3.6535003034013527,8.103471749234924,0.0,0.6891422767309556
388.0,306.0,105.0,1.0,1.994855317145589,3.4673455613725954,7.984264943001155,0.0,0.5371145240359951
489.0,322.0,111.0,4.0,2.976635527646166,3.870186890479961,8.733468377728341,1.0,0.7579907733272199
248.0,311.0,104.0,1.0,2.515383089673956,3.565032322529552,8.429049137467889,1.0,0.686221117321116
177.0,329.0,119.0,4.0,4.5,4.5,9.16,1.0,0.9
31.0,299.0,97.0,1.0,2.982163989356,3.3062877162960023,8.139341309545106,1.0,0.6361974483617795
158.0,308.0,102.0,1.0,2.096181542600984,2.349363039565859,8.287273713238774,1.0,0.6285106861288756
238.0,329.0,113.0,4.0,4.567878606504187,5.0,9.378875139626848,1.0,0.84776056221287
466.0,304.0,95.0,3.0,2.906656768664703,4.425871701219711,8.190485398611056,0.0,0.5354423820196118
408.0,298.0,99.0,3.0,2.529741846088969,3.92190436682682,7.866120069467394,1.0,0.5910894540083469
347.0,305.0,97.0,1.0,1.4804807368054356,1.9283984031162995,7.587430722697412,1.0,0.4817602768683638
128.0,319.0,112.0,4.0,2.3662119836404565,1.8998264387807076,8.530954737892632,1.0,0.7970545350977257
404.0,330.0,115.0,4.0,3.992503969975612,3.437589185342845,9.121353926050515,1.0,0.91722160816077
381.0,320.0,104.0,3.0,3.6418690901783433,3.982049956255788,8.921242133444483,0.0,0.7845102965664361
19.0,317.0,109.0,3.0,4.11173275235027,3.102741220382475,8.68829009306132,0.0,0.6217935760740013
269.0,325.0,114.0,3.0,4.584065995622575,5.0,9.0462654687364,0.0,0.8430991129920673
361.0,322.0,110.0,2.0,3.864832578522669,4.90292348671868,8.656083031937168,1.0,0.8858220782145396
311.0,319.0,104.0,3.0,2.9660475729552847,3.404620019955764,8.922114821302225,0.0,0.7444773188336262
471.0,317.0,110.0,4.0,3.993920829956073,3.939668700729518,9.340230839418366,1.0,0.8770189474009359
225.0,305.0,106.0,1.0,2.9964400996613643,2.0506914372764147,8.239055984487866,1.0,0.6817094267654463
391.0,314.0,102.0,2.0,2.0,2.5,8.24,0.0,0.64
6.0,330.0,113.0,5.0,4.4760345693325885,2.9350001618658115,9.448607339886092,1.0,0.915937089351038
249.0,324.0,110.0,3.0,3.2431968698315963,4.045702407061619,8.891838049460565,1.0,0.8158300233674902
201.0,316.0,102.0,3.0,2.509021009692892,3.0300680791178785,8.598227073227307,1.0,0.7348663967859222
188.0,335.0,118.0,5.0,4.47096339847376,3.56767185747382,9.386491404670272,0.0,0.9349702640331364
142.0,331.0,117.0,3.0,4.559856380447316,3.3305926088388578,9.23552590965518,0.0,0.8735460602945001
210.0,300.0,103.0,3.0,3.495376722345339,3.961943243348088,8.139009901160877,0.0,0.7056374609693681
429.0,316.0,102.0,2.0,2.0768108296398777,4.616072016754368,8.806800848726569,1.0,0.7227563734235196
128.0,318.0,111.0,3.0,2.385103842334422,2.1404325977643537,8.808839372409643,1.0,0.7574477383056898
391.0,313.0,103.0,1.0,2.0280939500716464,2.4251761754648125,8.318117171490107,0.0,0.6398708281015162
215.0,330.0,115.0,5.0,4.605052149673823,4.947390541429996,9.441181137408222,0.0,0.945490051491957
344.0,304.0,103.0,3.0,2.464814595791218,3.6878334762221954,8.215466468467417,1.0,0.5625521227883862
244.0,325.0,113.0,3.0,3.607207456954367,2.7628877914584127,9.039213152096346,1.0,0.7527861450543234
491.0,307.0,104.0,1.0,2.562158670867208,4.730582149506886,7.955856232318992,0.0,0.6446679014286151
95.0,303.0,98.0,4.0,1.923314539739496,2.559699895466092,7.599142922080814,1.0,0.3717417897101818
71.0,331.0,118.0,5.0,4.967114665451129,4.974323753838358,9.839387720559309,0.0,0.909900329824433
340.0,324.0,106.0,4.0,3.6652268043494223,4.05268025007077,8.803492463705144,0.0,0.8061640812944628
80.0,294.0,94.0,2.0,1.3187296528438326,1.9149500120855183,7.393260006291249,1.0,0.4869291104509704
217.0,322.0,110.0,3.0,4.558334754059383,4.416181629703813,9.235607548008794,0.0,0.9133573656039844
230.0,324.0,108.0,4.0,2.9898497211221806,3.150804460603068,8.915884452539904,1.0,0.8032320797148266
205.0,298.0,105.0,3.0,3.5,4.0,8.54,0.0,0.69
159.0,307.0,106.0,2.0,1.9394764220084584,2.395181440067064,8.285524982830426,0.0,0.5783818488255706
25.0,335.0,119.0,4.0,4.10778796094738,3.4199232043319414,9.730572602707852,0.0,0.9843377075819024
86.0,319.0,103.0,4.0,4.5,3.5,8.66,0.0,0.76
59.0,297.0,98.0,1.0,2.9686626222582646,2.090094524357164,6.692166033535865,1.0,0.366219559222436
37.0,297.0,105.0,2.0,4.067714760954019,4.098533028229171,8.318261669889997,1.0,0.647366533280724
284.0,320.0,112.0,2.0,2.568197617964787,3.1234697519003625,8.967068344751157,0.0,0.8100454026557544
17.0,317.0,107.0,3.0,4.0,3.0,8.7,0.0,0.66
237.0,326.0,113.0,5.0,3.9133123360521327,4.525178153819343,9.210126040350207,0.0,0.861260002638075
253.0,318.0,100.0,2.0,2.5,3.5,8.54,1.0,0.71
159.0,306.0,105.0,1.0,1.9041610403179496,2.499077650441484,8.176717587809371,0.0,0.6474795923042574
20.0,303.0,103.0,2.0,3.6316925193474905,3.103761064070385,8.246864369285424,1.0,0.6085648671294
459.0,311.0,100.0,1.0,2.9480131173094777,3.0209140079180665,8.52913840248245,1.0,0.6571819893517086
204.0,332.0,120.0,5.0,4.174306487703323,5.0,9.914425892662829,0.0,0.9867200431049008
6.0,331.0,114.0,5.0,4.401001293887803,3.06997481097777,9.37912328343616,0.0,0.8998636986909664
478.0,309.0,106.0,3.0,3.4960264559482312,2.00517542235694,8.340684558466448,0.0,0.6473887734874337
267.0,312.0,103.0,2.0,2.131932235134418,2.5204377669830738,8.421645045622887,1.0,0.7070218041587168
485.0,316.0,106.0,3.0,3.498145307347356,2.898142815383013,7.925622354031491,0.0,0.7351603214696529
179.0,309.0,108.0,3.0,2.5,3.0,8.12,0.0,0.72
225.0,304.0,103.0,3.0,3.0475420682560737,2.0668152909014816,8.367262051135963,1.0,0.6288278193731358
350.0,312.0,101.0,3.0,2.481005044985988,3.1109817504844117,8.080687702242905,0.0,0.6230602817501489
102.0,311.0,106.0,2.0,2.4832955408988644,3.044947565141252,8.146876941773165,1.0,0.6555118965015946
108.0,335.0,116.0,5.0,3.540105163865783,4.546900635155507,9.628580726080898,1.0,0.899770909920675
164.0,317.0,102.0,2.0,3.3672137986373216,3.029694060600766,8.601459677216305,0.0,0.6769517318502255
90.0,315.0,108.0,3.0,4.498326054297466,3.514998724003697,8.783077008157626,1.0,0.774588733052816
454.0,320.0,104.0,2.0,2.734453992366217,4.035494598321178,8.82656010443878,1.0,0.7447550559929632
280.0,301.0,102.0,3.0,2.905074200776708,4.09049509332986,8.590166486467387,1.0,0.6523140741758693
462.0,302.0,101.0,4.0,2.484975362240989,2.019855106045838,8.338966705737054,1.0,0.6745016692830845
6.0,329.0,115.0,5.0,4.657050634123194,3.0582428025370048,9.346261553121566,0.0,0.9235243729811604
35.0,332.0,113.0,5.0,4.080121958811357,5.0,9.67460092605447,1.0,0.9446145719574416
278.0,320.0,100.0,3.0,2.5860007595802257,2.935643639677687,8.524538760385974,1.0,0.7057943421917164
5.0,312.0,102.0,2.0,1.989367259632172,2.9315820502469183,8.179911814142418,0.0,0.6753999519571493
241.0,295.0,100.0,1.0,2.4901983728979107,3.0809977020739945,7.602666137847866,1.0,0.579578154382864
402.0,315.0,105.0,3.0,2.826232411604928,2.868453296095696,8.263200045890805,0.0,0.6656209966072174
123.0,309.0,107.0,4.0,1.6642939599671995,2.602350856174928,8.319453791065975,1.0,0.5677218495456432
345.0,296.0,96.0,3.0,1.5766245002863617,2.013541543066886,7.366597968500771,1.0,0.4609521314124131
18.0,318.0,107.0,3.0,3.950159941545643,2.909559186484014,8.044947796236249,0.0,0.6403656302480621
329.0,324.0,112.0,4.0,3.863213164196111,3.61375787131891,8.69259450297367,1.0,0.8008709447791452
179.0,307.0,109.0,3.0,2.511105811427504,2.953921546055425,8.351428104000677,0.0,0.7085921392577561
5.0,313.0,103.0,2.0,2.028491233590717,3.0524999882713075,7.993594868476284,0.0,0.6497584770022676
373.0,336.0,119.0,4.0,4.5,4.0,9.62,1.0,0.95
166.0,321.0,111.0,5.0,4.469502806648468,3.9622723304446312,8.74318698586504,0.0,0.7757265731057063
283.0,312.0,105.0,2.0,3.942522617801824,3.56074090304324,8.925102971622941,0.0,0.8144355284814739
312.0,328.0,107.0,4.0,4.310555554602789,3.9316548528504343,9.13290757954586,0.0,0.8382032039419108
258.0,325.0,100.0,3.0,3.91307242653743,5.0,8.639676778938597,1.0,0.7955308539512623
61.0,309.0,100.0,2.0,3.0,3.0,8.1,0.0,0.48
51.0,313.0,97.0,3.0,2.4242950797324028,4.540152408080845,8.305995980298658,0.0,0.744909286932903
438.0,316.0,108.0,2.0,1.3112344071851516,3.4422783152276084,7.614558801943787,1.0,0.6250885257868197
194.0,335.0,118.0,4.0,4.700095749196486,4.912906472125294,9.32847710945934,0.0,0.9588893830675488
303.0,323.0,105.0,2.0,2.908772621146386,3.078193061449603,8.374339218989569,1.0,0.6746730028771172
83.0,319.0,110.0,5.0,5.0,4.617161083201112,9.098635483833291,0.0,0.9062437301532198
63.0,303.0,104.0,2.0,3.0179152065622445,3.0500629761047726,8.195988533493034,1.0,0.5367372368438387
21.0,310.0,106.0,4.0,2.961116512471655,2.0737290836927484,7.983865647623301,0.0,0.6423146295789862
41.0,308.0,110.0,4.0,3.5116925782835047,3.047975115500749,7.9148767768911235,0.0,0.455538463379696
180.0,307.0,102.0,2.0,3.029372523633229,3.098020070732746,8.366236950102643,1.0,0.7819857201648687
489.0,322.0,111.0,4.0,2.861315476757157,4.015706408357591,8.546690581221188,1.0,0.7774876061256979
487.0,320.0,102.0,2.0,2.5949864335164867,2.449010592744345,8.472511458903504,0.0,0.6666917437587628
104.0,317.0,105.0,3.0,4.59069154088545,3.888212691467757,8.415037177513247,1.0,0.5917106734694618
348.0,298.0,93.0,2.0,1.1653718713772252,0.9861157033276602,7.382052053227282,0.0,0.4015568909475205
417.0,314.0,103.0,4.0,4.001441238950688,2.465102891612911,8.0735275186406,1.0,0.6327720118553973
119.0,298.0,98.0,3.0,2.981799703251508,3.5245835717634733,7.309034401331216,0.0,0.4876219744568221
81.0,309.0,107.0,3.0,2.03166201828026,2.912879230562798,8.273944315272914,1.0,0.5048590140795179
476.0,300.0,102.0,4.0,3.5528041847073544,2.566974516839323,7.814179208847221,1.0,0.6023986600533421
254.0,336.0,115.0,3.0,4.566297652156481,4.494683842897608,9.469875310705511,0.0,0.875285101043143
485.0,316.0,106.0,2.0,3.492388370087849,3.145375273278146,7.897006881657193,1.0,0.7441461893589688
17.0,317.0,105.0,2.0,4.1597099668939865,2.8950491414777706,8.909938555903016,0.0,0.6713286567693509
304.0,324.0,108.0,4.0,3.483358748548559,3.540997405532305,8.351731781562801,1.0,0.7138542282262754
211.0,324.0,106.0,5.0,4.403433331049873,3.957644951276126,8.945335258983764,1.0,0.7715037942847047
33.0,337.0,118.0,5.0,3.064005769947162,4.610676866432344,9.282397609176323,1.0,0.9106212172543346
162.0,297.0,99.0,1.0,1.4344294353421851,3.010922110787766,7.584167415324751,0.0,0.5200442615905106
183.0,299.0,98.0,1.0,3.022290016086726,3.467555818281326,7.855188917784051,1.0,0.6333269932695731
440.0,314.0,104.0,3.0,1.550615002760143,3.058600553597977,8.574190733540902,0.0,0.6767443863012422
170.0,311.0,99.0,2.0,2.5670010439536,3.002604355569702,7.930628560950764,0.0,0.6154027722396048
44.0,332.0,116.0,4.0,4.572452435974821,3.956448205344002,9.03808404136866,0.0,0.915382708452604
159.0,305.0,105.0,2.0,2.0982734065345845,2.477997145523858,7.921764101220415,0.0,0.6184391458356291
241.0,296.0,100.0,2.0,2.607447420201797,2.9734503107737,7.991795406953078,0.0,0.6138772451822261
82.0,340.0,118.0,4.0,5.0,5.0,9.45945603445703,0.0,0.9739957469203178
482.0,321.0,106.0,5.0,3.003371122315081,2.5542887773533267,8.341393231487741,1.0,0.7616508388302147
87.0,314.0,107.0,4.0,4.557011403715724,3.4792963393219294,8.321158609612791,0.0,0.7272976322581973
69.0,318.0,109.0,2.0,3.3896927036867885,4.01805166812683,9.313781165198916,0.0,0.7036837102186646
52.0,312.0,100.0,1.0,1.7982133333997,3.4695447877706003,7.971019729126008,0.0,0.5447871251494119
47.0,328.0,113.0,5.0,3.8933920905506665,5.0,9.299388189309996,1.0,0.8559782847928155
487.0,319.0,103.0,2.0,2.436383548885248,2.5541197654705017,8.53202957996451,1.0,0.6893342942703979
392.0,318.0,106.0,3.0,1.8872951356420185,2.9223487708355,8.852639002798856,1.0,0.7098344861840997
357.0,326.0,110.0,2.0,3.4797828641844504,4.0595636414252905,8.833317146884735,0.0,0.8046834783388306
437.0,310.0,109.0,1.0,1.4923171413768004,3.939721899693936,7.390851620976236,1.0,0.5772354413680719
16.0,313.0,105.0,4.0,3.6999345333053055,2.603970970137776,8.277161742127474,1.0,0.5370751159057254
201.0,316.0,101.0,3.0,2.5127534390576804,2.9792434711077,8.53124795574957,0.0,0.7023782529490963
259.0,325.0,101.0,4.0,5.0,5.0,8.846771548556452,0.0,0.780448223012747
455.0,308.0,105.0,3.0,2.983791514599515,3.497308775191117,8.13217912842529,0.0,0.7399148473459819
457.0,299.0,100.0,3.0,2.025477214300628,2.0185601133322875,7.866021128227278,0.0,0.4880574762015199
469.0,322.0,110.0,3.0,4.010229672061242,4.964224146174018,8.845957594193969,1.0,0.794391729158236
153.0,320.0,110.0,4.0,5.0,4.898769126703404,9.000634271324449,0.0,0.8401155817985321
42.0,315.0,106.0,2.0,2.5448576069122266,2.464446269535668,8.306237728322667,0.0,0.4773993427511088
208.0,310.0,101.0,2.0,3.604117612276431,4.238477297952162,8.062995383806278,1.0,0.6311904464910219
268.0,315.0,107.0,4.0,2.9905636549586694,3.524238055773371,8.317287385172987,0.0,0.7395212467573501
239.0,309.0,105.0,2.0,1.970550090721552,3.634685291656584,8.313516347643667,1.0,0.7113588085662897
1.0,337.0,119.0,3.0,4.602790083301399,4.3913261974179045,9.783688815635273,0.0,0.9418318725931774
376.0,303.0,101.0,2.0,1.9434620210074296,2.555411018085456,7.632348372039128,0.0,0.4066572243231464
87.0,314.0,105.0,2.0,4.50697874923808,3.473517238930405,8.461028066511528,0.0,0.7010040816066084
477.0,304.0,103.0,4.0,2.540418744524324,2.0169034615904997,8.07298968861174,0.0,0.6305501325601296
160.0,298.0,100.0,2.0,1.4547035518289948,2.080898639518524,7.692583235430558,0.0,0.5111436701291058
70.0,327.0,112.0,4.0,4.476962052646131,4.149403931643517,9.29774240360287,0.0,0.7918061404973571
49.0,320.0,109.0,4.0,3.4877773692799345,5.0,8.712790276139517,0.0,0.8016871865997884
246.0,327.0,110.0,5.0,4.099010065393154,2.388216931889656,9.0064169962647,1.0,0.80372427714146
277.0,330.0,112.0,4.0,5.0,4.62320597035746,9.42799630675774,0.0,0.9122333540679268
440.0,312.0,102.0,1.0,1.6656365059557523,2.991883958569708,8.54563467544343,1.0,0.6717991326557587
186.0,327.0,113.0,4.0,4.375618695301108,4.578922276972397,8.987021908919397,0.0,0.877798837422544
449.0,312.0,109.0,2.0,2.5,4.0,9.02,0.0,0.8
195.0,317.0,109.0,3.0,3.374930050488011,2.8915156757924705,8.87398950072492,0.0,0.7470061325043239
164.0,316.0,106.0,4.0,3.419558068281702,2.998739061074847,8.714864732065175,0.0,0.6480990581542844
462.0,301.0,101.0,4.0,2.4198501079869583,1.9111968074734629,8.128884636850945,1.0,0.6893108673357303
83.0,320.0,110.0,5.0,5.0,4.5514450052509945,9.206975682331237,1.0,0.922914786536716
14.0,307.0,108.0,4.0,3.9434014448365633,2.7969334853814733,7.970247729373066,1.0,0.6061277833405666
323.0,311.0,105.0,3.0,2.5914610723187868,3.820371672626147,8.266665333862601,0.0,0.7418382308770508
229.0,317.0,111.0,4.0,3.976818961247236,3.5232619028358894,8.724821929057354,1.0,0.720426796560293
252.0,316.0,98.0,3.0,2.449994465305295,2.9143803596224966,8.955123849758115,1.0,0.6733352803149392
189.0,331.0,116.0,5.0,4.409949271273996,3.456953742250564,9.547340383949548,1.0,0.9410117907236708
15.0,310.0,102.0,4.0,3.590874878747756,2.2310309984984764,8.17161995046625,0.0,0.6094032475927655
4.0,321.0,108.0,2.0,3.5489462555991054,2.3846318465665206,8.745224069186625,0.0,0.8068182208731056
365.0,313.0,101.0,4.0,3.378381357269449,4.134027120772329,8.90410661268467,1.0,0.743405975379446
465.0,298.0,96.0,1.0,1.9582945752988743,2.93130872877969,7.208623615271038,0.0,0.4717998136449577
16.0,314.0,105.0,4.0,3.6578991826657967,2.435380130906402,8.250080607762717,0.0,0.5328094195594206
285.0,340.0,110.0,3.0,4.996948804548253,4.547014796802205,9.741870424802569,0.0,0.950891480320559
220.0,311.0,102.0,3.0,3.4476008316041598,3.7735011450620575,8.257956573719957,1.0,0.7392013357650308
289.0,313.0,102.0,5.0,5.0,4.99601060236488,9.018722101560629,1.0,0.8180591380546648
421.0,298.0,99.0,4.0,2.057124107284764,3.00241419019682,7.303492873024496,0.0,0.4213173491465649
167.0,302.0,102.0,3.0,3.450128107546021,4.853386998358073,8.254074723404822,1.0,0.642992530757103
341.0,314.0,107.0,4.0,3.036559580431867,2.9401096164597598,8.448287372104424,1.0,0.7616440153926487
265.0,324.0,110.0,3.0,3.2820311916470164,2.525676662382484,8.675083999578057,1.0,0.7322447725249406
79.0,297.0,94.0,1.0,3.046591047738502,1.914215424790829,7.663643358783044,1.0,0.4364224994852036
351.0,316.0,105.0,2.0,2.992629979410618,3.3901057131675025,8.27336020744604,1.0,0.741222615514914
346.0,316.0,98.0,2.0,1.668043794480549,2.1539980369044227,7.544076796722225,0.0,0.4991698275575733
239.0,310.0,103.0,3.0,1.8187510947585956,3.658391095644959,8.308617825371883,0.0,0.6843633731962987
394.0,316.0,105.0,2.0,2.8935304071420065,3.017911372469894,8.635218584113193,1.0,0.7489437263235639
192.0,322.0,110.0,4.0,3.988901037044156,4.973327039922589,9.128884774161875,0.0,0.8402034608844969
34.0,340.0,115.0,5.0,4.003172492950426,4.056035461217919,9.7535856255543,1.0,0.8944026904342127
